variable name,type,scope,description,line,function
ERRORLOG,str,global,,52, varlister v2.2.py
DEFAULTOVERRIDES,dict,global,,54, varlister v2.2.py
OPERATORS,list,global,,56, varlister v2.2.py
COMPREHENSIONS,list,global,,58, varlister v2.2.py
IGNORE_GENERATED,bool,global,,77, varlister v2.2.py
exists,self.DoesVarExist(),local,,503, varlister v2.2.py ASTVisitor ActionVar
varobj,Variable(),local,,506, varlister v2.2.py ASTVisitor ActionVar
scopename,str,local,,143, varlister v2.2.py ASTVisitor AddScope
self.vardict[].functions,set,local,,527, varlister v2.2.py ASTVisitor AddUsingFunctions
functoadd,str,local,,530, varlister v2.2.py ASTVisitor AddUsingFunctions
functionname,self.scopetree[],local,,465, varlister v2.2.py ASTVisitor AssignFunctionReturnType
self.funcdict[].returntype,self.GetType(),local,,470, varlister v2.2.py ASTVisitor AssignFunctionReturnType
funcname,str,local,,180, varlister v2.2.py ASTVisitor DoesFuncExist
varname,str,local,,172, varlister v2.2.py ASTVisitor DoesVarExist
ids,List,local,,680, varlister v2.2.py ASTVisitor GetAssignedIDs
values,List,local,,692, varlister v2.2.py ASTVisitor GetAssignedValues
limit,int,local,,692, varlister v2.2.py ASTVisitor GetAssignedValues
start,int,local,,692, varlister v2.2.py ASTVisitor GetAssignedValues
lis,list,local,,710, varlister v2.2.py ASTVisitor GetAssignedValues
scopetree,List,local,,134, varlister v2.2.py ASTVisitor GetScopeTreeString
output,str,local,,138, varlister v2.2.py ASTVisitor GetScopeTreeString
typename,str,local,,207, varlister v2.2.py ASTVisitor GetType
functype,self.funcdict[].returntype,local,,234, varlister v2.2.py ASTVisitor GetType
left,self.GetType(),local,,248, varlister v2.2.py ASTVisitor GetType
right,self.GetType(),local,,249, varlister v2.2.py ASTVisitor GetType
names,list,local,,612, varlister v2.2.py ASTVisitor HandleOps
currenttype,self.vardict[].type,local,,763, varlister v2.2.py ASTVisitor HasNoType
var,str,local,,759, varlister v2.2.py ASTVisitor HasNoType
defaults,list,local,,369, varlister v2.2.py ASTVisitor ProcessFuncArgs
